session_id,session_start_dt,session_finish_dt,username,ip_address,country,city,geo_point
1,2024-04-08 13:39:47,2024-04-08 21:21:47,user452,192.168.102.190,Germany,Augsburg,"[48.35,10.9]"
2,2024-04-08 15:33:21,2024-04-08 23:26:45,user72,192.168.106.11,United States,Greensboro,"[36.0956,-79.8268]"
3,2024-04-09 21:06:46,2024-04-10 04:23:10,user237,192.168.69.225,Canada,Ottawa,"[45.4167,-75.7]"
4,2024-04-04 17:07:20,2024-04-05 00:22:20,user149,192.168.44.213,Brazil,São Luís,"[-2.516,-44.266]"
5,2024-04-07 19:41:08,2024-04-08 00:33:05,user5,192.168.125.80,Vietnam,Phan Thiết,"[10.9337,108.1001]"
6,2024-04-06 01:57:05,2024-04-06 06:51:38,user36,192.168.22.185,Ukraine,Kryvyy Rih,"[47.9283,33.345]"
7,2024-04-09 12:43:21,2024-04-09 16:03:46,user246,192.168.72.193,Nigeria,Maiduguri,"[11.85,13.16]"
8,2024-04-08 15:29:11,2024-04-08 17:09:44,user328,192.168.4.57,Mexico,Tampico,"[22.3,-97.87]"
9,2024-04-06 18:39:30,2024-04-06 19:32:45,user14,192.168.206.125,Japan,Kyōto,"[35.03,135.75]"
10,2024-04-04 21:46:45,2024-04-04 23:20:44,user95,192.168.130.215,Kazakhstan,Pavlodar,"[52.3,76.95]"
11,2024-04-08 16:03:28,2024-04-08 17:19:16,user56,192.168.54.155,Australia,Cranbourne,"[-38.0996,145.2834]"
12,2024-04-05 00:51:02,2024-04-05 01:31:38,user28,192.168.194.199,United States,Lexington,"[38.0423,-84.4587]"
13,2024-04-09 09:07:00,2024-04-09 14:52:58,user307,192.168.77.202,Argentina,Corrientes,"[-27.49,-58.81]"
14,2024-04-04 03:41:45,2024-04-04 09:05:56,user32,192.168.99.23,Ukraine,Kharkiv,"[50,36.25]"
15,2024-04-09 03:49:28,2024-04-09 09:05:00,user464,192.168.20.213,Canada,Québec,"[46.84,-71.2456]"
16,2024-04-04 11:42:47,2024-04-04 16:45:36,user285,192.168.25.132,Japan,Kyōto,"[35.03,135.75]"
17,2024-04-06 22:38:18,2024-04-07 05:36:08,user63,192.168.27.237,Turkey,Diyarbakır,"[37.9204,40.23]"
18,2024-04-07 14:23:16,2024-04-07 15:35:43,user285,192.168.25.132,Japan,Kyōto,"[35.03,135.75]"
19,2024-04-08 11:16:36,2024-04-08 13:21:13,user110,192.168.127.132,Egypt,Qinā,"[26.1505,32.72]"
20,2024-04-08 20:04:19,2024-04-09 01:49:28,user336,192.168.224.140,Mexico,San Luis Potosí,"[22.17,-101]"
21,2024-04-03 20:47:11,2024-04-03 21:48:30,user3,192.168.191.162,Argentina,Santa Fe,"[-31.6239,-60.69]"
22,2024-04-07 14:26:50,2024-04-07 16:34:17,user428,192.168.155.248,Japan,Kawanakajima,"[35.53,139.705]"
23,2024-04-04 14:36:19,2024-04-04 21:20:34,user129,192.168.113.116,Russia,Nizhniy Novgorod,"[56.333,44.0001]"
24,2024-04-09 11:53:55,2024-04-09 14:38:35,user369,192.168.237.205,Mexico,Mazatlán,"[23.2211,-106.42]"
25,2024-04-10 01:33:02,2024-04-10 02:18:44,user71,192.168.31.224,Brazil,Olinda,"[-8,-34.85]"
26,2024-04-07 03:29:53,2024-04-07 08:41:28,user34,192.168.254.229,"Korea, South",Cheongju,"[36.6439,127.5012]"
27,2024-04-08 00:50:05,2024-04-08 07:17:04,user201,192.168.123.239,United States,Fort Collins,"[40.5475,-105.0651]"
28,2024-04-07 20:03:11,2024-04-08 00:30:34,user215,192.168.135.196,Egypt,Ismailia,"[30.5903,32.26]"
29,2024-04-09 17:28:25,2024-04-09 18:47:56,user290,192.168.169.201,United States,Lancaster,"[40.042,-76.3012]"
30,2024-04-08 18:18:34,2024-04-09 02:22:38,user425,192.168.27.212,Mexico,Monterrey,"[25.67,-100.33]"
31,2024-04-04 06:47:21,2024-04-04 12:18:42,user263,192.168.23.71,United States,Boise,"[43.6007,-116.2312]"
32,2024-04-06 15:07:10,2024-04-06 15:49:27,user179,192.168.152.63,Venezuela,Ciudad Bolívar,"[8.1,-63.6]"
33,2024-04-05 00:30:13,2024-04-05 01:13:40,user203,192.168.106.234,Egypt,Cairo,"[30.05,31.25]"
34,2024-04-05 13:48:27,2024-04-05 17:52:25,user279,192.168.219.109,United States,Boston,"[42.3188,-71.0846]"
